occ,recs
agent                              ,1229
teacher's aide                     ,1228
federal employee                   ,1228
laundry                            ,1228
telemarketer                       ,1226
jeweler                            ,1225
route sales                        ,1225
maid                               ,1224
miner                              ,1223
contract specialist                ,1221
radiologic technologist            ,1220
hha                                ,1219
walmart                            ,1211
program assistant                  ,1207
oilfield                           ,1203
billing                            ,1199
art director                       ,1197
regional manager                   ,1197
temp                               ,1194
longshoreman                       ,1193
quality engineer                   ,1192
railroad                           ,1192
cafeteria worker                   ,1192
receiving clerk                    ,1192
ceo                                ,1189
pest control                       ,1189
locksmith                          ,1186
bookeeper                          ,1177
registrar                          ,1177
transcriptionist                   ,1173
accounting assistant               ,1170
retired military                   ,1170
library assistant                  ,1166
air traffic controller             ,1162
fork lift operator                 ,1162
office admin                       ,1159
hvac technician                    ,1158
military officer                   ,1157
engineering technician             ,1155
maintenance technician             ,1155
front desk                         ,1153
assistant principal                ,1151
hr                                 ,1151
package handler                    ,1150
payroll                            ,1149
baby sitter                        ,1146
dog groomer                        ,1146
claims examiner                    ,1146
otr truck driver                   ,1141
produce clerk                      ,1139
teacher/coach                      ,1136
dept manager                       ,1136
sanitation                         ,1127
teacher asst                       ,1125
auto sales                         ,1125
handy man                          ,1123
real estate appraiser              ,1122
assistant director                 ,1121
book keeper                        ,1120
automotive technician              ,1117
homecare                           ,1115
administrative asst.               ,1113
carpet installer                   ,1111
hr specialist                      ,1107
retail associate                   ,1106
deputy clerk                       ,1103
assistant professor                ,1102
home attendant                     ,1101
fork lift driver                   ,1101
operating engineer                 ,1100
shift supervisor                   ,1098
groundskeeper                      ,1097
customer service rep.              ,1096
farm worker                        ,1088
accounts receivable                ,1084
translator                         ,1084
plant operator                     ,1083
casino dealer                      ,1081
dancer                             ,1079
psychotherapist                    ,1074
skilled                            ,1069
direct care                        ,1064
dietary                            ,1062
bakery                             ,1061
state trooper                      ,1054
system engineer                    ,1053
office asst                        ,1052
catering                           ,1051
printing                           ,1050
marketing coordinator              ,1046
nursing asst                       ,1046
self emp                           ,1046
optometrist                        ,1042
insurance broker                   ,1041
sales mgr                          ,1041
billing specialist                 ,1041
reitred                            ,1040
fisherman                          ,1040
attendant                          ,1033
dock worker                        ,1032
chemical operator                  ,1031
conductor                          ,1027
mortgage broker                    ,1027
-                                  ,1026
coal miner                         ,1025
engineering tech                   ,1024
facilities manager                 ,1024
